product_no,key_index_x,draft_param1,draft_param2,draft_param3,draft_param4,draft_param5,draft_param6,draft_param7,draft_param9,draft_param10,draft_param11,key_index_y,param1,param2,param3,param4,param5,param6,param7,param8,param9,y
3736,0.97072,5,0,1,343,0.28,0.4,1.05,0.0,1,3,0.97072,29.615,29.615,0.0,1.0,4,29,0,4,3.6,-1.5188441291719668
3737,0.86024,3,0,0,343,0.065,1.0,1.05,0.34,1,1,0.86024,14.185,14.185,0.0,1.0,6,13,0,1,3.1,-0.8515207418368462
3738,0.98024,4,1,1,343,0.075,1.0,1.3,0.35,1,3,0.98024,14.4,14.4,0.0,1.0,6,5,0,4,3.6,-1.682772650823582
3740,0.98067,3,0,0,343,0.065,1.0,1.05,0.34,1,0,0.98067,14.205,14.205,0.0,1.0,6,8,0,4,3.1,-1.6918626213619647
3741,0.9794299999999999,3,0,0,343,0.065,1.0,1.0,0.34,1,1,0.9794299999999999,21.6,21.6,0.0,1.0,4,20,0,3,3.1,-1.6661498548974554
3743,0.9878899999999999,5,0,1,343,0.075,1.0,1.3,0.35,1,3,0.9878899999999999,14.3,14.3,0.0,1.0,6,15,1,4,3.6,-1.8823973083099172
3744,0.9882,5,0,1,343,0.075,1.0,1.3,0.35,2,3,0.9882,14.550999999999998,14.550999999999998,0.0,1.0,6,8,0,4,3.6,-1.8927900303521343
3745,0.9852700000000001,3,0,0,343,0.065,1.0,1.05,0.34,2,1,0.9852700000000001,20.9,20.9,0.0,1.0,4,16,0,0,3.1,-1.8032712773767188
3746,0.92725,5,0,1,343,0.28,0.4,1.05,0.0,1,3,0.92725,29.146,29.146,0.0,1.0,4,66,0,1,3.6,-1.1322379753498002
3747,0.9738600000000001,5,0,1,343,0.075,1.0,1.3,0.35,1,3,0.9738600000000001,29.271,29.271,0.0,1.0,6,29,0,2,3.6,-1.5663901566762843
3748,0.9747100000000001,4,1,1,343,0.28,0.4,1.05,0.0,0,3,0.9747100000000001,29.213,29.213,0.0,1.0,6,40,0,5,3.6,-1.5802094138936404
3749,0.9889700000000001,3,0,0,343,0.065,1.0,1.05,0.34,0,0,0.9889700000000001,21.7,21.7,0.0,1.0,4,36,0,0,3.1,-1.919734372660164
3750,0.9832,5,0,1,343,0.28,0.4,1.05,0.0,0,3,0.9832,29.838,29.638,0.0,1.0,6,21,0,5,3.6,-1.7495799976911077
3751,0.9296,3,0,0,343,0.065,1.0,1.05,0.34,1,1,0.9296,21.4,21.4,0.0,1.0,4,12,0,3,3.1,-1.1463017882238262
3752,0.98,3,0,0,343,0.065,1.0,1.05,0.34,0,0,0.98,8.957,8.957,0.0,1.0,6,39,0,0,3.1,-1.6777807052660827
3753,0.97619,5,0,1,343,0.075,1.0,1.3,0.35,1,3,0.97619,16.4,16.4,0.0,1.0,6,40,0,1,3.6,-1.6053732357277928
3754,0.96373,3,0,0,343,0.065,1.0,1.05,0.34,0,0,0.96373,13.142000000000001,13.142000000000001,0.0,1.0,6,15,0,4,3.1,-1.4286406072461613
3756,0.9653299999999999,5,0,1,343,0.075,1.0,1.3,0.35,0,3,0.9653299999999999,13.1,12.9,0.0,1.0,6,7,0,4,3.6,-1.4476968906616463
3757,0.94189,1,0,0,343,0.065,1.0,1.05,0.34,0,0,0.94189,29.843000000000004,29.843000000000004,0.0,1.0,4,9,0,4,3.1,-1.2283390406511134
3758,0.9731,3,0,0,343,0.065,1.0,1.05,0.34,2,0,0.9731,13.0,13.0,0.0,1.0,6,9,0,1,3.1,-1.5543957967264037
